question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
Broker Andy signs a listing agreement with seller Cranston. Cranston is Andy's,Customer,Client,Agent,Participant,Incumbent,2,2,Law of Agency,,
Broker Andy signs a listing agreement with seller Cranston. Cranston is Andy's,Customer,Principal,Agent,Participant,None of these,2,2,Law of Agency,,
Broker Andy signs a listing agreement with seller Cranston. Cranston is Andy's,Customer,None of these,Agent,Participant,Beneficiary,2,2,Law of Agency,,
"As a licensed agent, who you have a fiduciary duty to is established by the party that",Pays you,Hires you,Agrees to your representation,Manages you,Reports to you,3,2,Law of Agency,1,1
"As a licensed agent, who you have a fiduciary duty to is established by the party that",Pays you,None of these,Agrees to your representation,Manages you,Reports to you,3,2,Law of Agency,,
"As a licensed agent, who you have a fiduciary duty to is established by the party that",None of these,Hires you,Pays you,Manages you,Reports to you,1,2,Law of Agency,,
Agent Mark's client seller Victoria is happy the sale is done. The buyer gives Mark a bonus. Is this legal?,"No, that's a kickback","No, the buyer is not a client",Yes but only the broker keeps that money,None of these,"Yes, as long as Victoria agrees",5,2,License Law,,
"According to real estate law, to whom does an agent owe fiduciary duties to?",Customer,Principal,Brokerage,Attorney,Buyer,2,2,Law of Agency,,
Fiduciary can be characterized as,Involving trust between two parties,A temporary arrangement,Being like a marriage,Financial only,Motivated by self-interest,1,2,Law of Agency,,
"While the OLDCAR fiduciary duties are owed to the client, what is owed to the customer?",Disclosure,Confidentiality,Accountability,Honesty,Loyalty,4,2,Law of Agency,,
"While the OLDCAR fiduciary duties are owed to the client, what is owed to the customer?",Disclosure,Confidentiality,Accountability,None of these,Loyalty,4,2,Law of Agency,,
"While the OLDCAR fiduciary duties are owed to the client, what is owed to the customer?",Obedience,Confidentiality,Accountability,All of these,Honesty,5,2,Law of Agency,,
"If only honesty is the only fiduciary duty owed to a customer, what owed to an agent's client?",Obedience,Loyalty,Disclosure,Confidentiality,All of these,5,2,Law of Agency,,
"If only honesty is the only fiduciary duty owed to a customer, what owed to an agent's client?",Obedience,Loyalty,Disclosure,Reasonable care,All of these,5,2,Law of Agency,,
An easement can be defined as,A right to use someone else's property,An easier entry way into a hosue,None of these,The first page of a title report,Blocking access to a property,1,2,Easement and Liens,,
The right for Alonzo to drive through his neighbors driveway to get to his home is called a/an,Lien,Easement,Deed restriction,Seizin,Eminent domain,2,2,Easement and Liens,,
The right of one party to use another party's property is called a/an,Easing,Leeway,Ease,Opportunance,Easement,5,2,Easement and Liens,,
The local utility company wishes to install power across backyards. The easment the utility company will use to accomplish this is,In gross,Dominant,Appurtenant,Negative,Subservient,1,2,Easement and Liens,1,1
A party wall is what type of easement?,Dominant,Cross-easement,Negative amortization,In gross,Subservient,2,3,Easement and Liens,,
An example of a cross-easement is a / an,Power cable,Party wall,Driveway,Floodlights,Roof antennas,2,3,Easement and Liens,,
"In an easement, the party that has the right to use another property is called",Dominant,Cross-easement,Negam,In gross,Subservient,1,3,Easement and Liens,,
"In an easement, the party that gives a right to another to use a property is called",In gross,Dominant,Appurtenant,Negative,Subservient,5,2,Easement and Liens,,1
"In an easement, the party that has the right to use another property is called",None of these,Cross-easement,Negam,In gross,Subservient,1,3,Easement and Liens,,
"In an easement, the party that gives a right to another to use a property is called",In gross,Dominant,Appurtenant,Negative,None of these,5,2,Easement and Liens,,
Mick has the right to park on Tim's front lawn. Mick and Tom are which of the following in the easement?,"Dominant and servient, respectively","Servient and dominant, respectively",In gross,Affirmative servient,Appurtenant and negative,1,2,Easement and Liens,,
Lydia's neighbor is landlocked but has the righ to walk across Lydia's front lawn. The neighbor and Lydia are which of the following in the easement?,"Dominant and servient, respectively","Servient and dominant, respectively",In gross,Affirmative servient,Appurtenant and negative,2,2,Easement and Liens,,1
Mick has the right to park on Tim's front lawn. Mick and Tom are which of the following in the easement?,None of these,"Servient and dominant, respectively",In gross,Affirmative servient,Appurtenant and negative,1,2,Easement and Liens,,
Lydia's neighbor is landlocked but has the righ to walk across Lydia's front lawn. The neighbor and Lydia are which of the following in the easement?,"Dominant and servient, respectively",None of these,In gross,Affirmative servient,Appurtenant and negative,2,2,Easement and Liens,,
Mick has the right to park on Tim's front lawn. Mick and Tom are which of the following in the easement?,"Dominant and servient, respectively","Servient and dominant, respectively",None of these,Affirmative servient,Appurtenant and negative,1,2,Easement and Liens,,
Lydia's neighbor is landlocked but has the righ to walk across Lydia's front lawn. The neighbor and Lydia are which of the following in the easement?,"Dominant and servient, respectively","Servient and dominant, respectively",None of these,Affirmative servient,Appurtenant and negative,2,2,Easement and Liens,,
Which of the following best describes an affirmative easement?,It is the right to do something on someone else's property,Disallows an action on a property,Confirms an easement by written deed,None of these,An easement that's best for all parties,1,2,Easement and Liens,,
Which of the following best describes a negative easement?,Disallows an action on a property,An easement that is detrimental to all concerned property owners,An easement that has been removed,Detrimental to the public,An easement that is a violation,1,3,Easement and Liens,1,1
Pedro has an easement where he is not allowed to build a wall that would block his neighbors view. This type of easement is known as?,Reverse,Affirmative,Negative,Servient,Dominant,3,3,Easement and Liens,,
"In terms of easements, the difference between in gross and appurtenant is","In gross involves private parties, appurtenant involves the government","In gross involves the government, appurtenant involves the utility company","In gross involves a utility company, appurtenant involves private parties","None, both involve private parties",In gross is dominant and appurtenant is servient,2,3,Easement and Liens,,
"In terms of easements, the difference between dominant and servient is","The servient is given the right, the dominant forces it","The dominant gets the right, the servient gives it",The dominant is given rights in gross,"The servient is negative, the dominant is affirmative",None of these,2,2,Easement and Liens,,
"In terms of easements, the difference between affirmative and negative is","Affirmative allows, negative disallows","Affirmative disallows, negative allows",The negative cancels the affirmative,The affirmative overrides the negative,The affirmative cancels out the negative,1,2,Easement and Liens,,
Martina and Oscar are neighbors and share a front lawn. What type of easement is the front lawn?,Affirmative,Cross-easement,Negative,Servient,Dominant,1,2,Easement and Liens,,
A loan that does not meet the loan guidelines set by the FNMA is called,Jumbo,Negative amortization,Non-conforming,Redlined,NINJA,3,2,Mortgage,,
A loan that does not meet the loan guidelines set by the FNMA is called,Jumbo,Negative amortization,None of these,No doc,NINJA,3,2,Mortgage,,
A difference between conforming and non-confirming loans in the secondary market is,Conforming loans are more liquid,Non-confirimg are more liquid,Confirming loans are not sold on the secondary market,Non-conforming loans are not sold on the secondary market,None of these,1,3,Mortgage,,
Non-conforming loans are loans that,Conforming loans with high default rates,Do not meet bank guidelines,Have loan amounts above $722K,Have high default probability,Do not meet FNMA guidelines,5,2,Mortgage,,
A flip tax is ,Tax on property flipped within a year,Tax on property flipped within 2 years,A move-out fee paid to a co-op by seller,A move-in fee paid to a co-op by buyer,A move-out fee paid to a condo board by seller,3,2,Condos and Coops,,1
What type of tax is a flip tax?,Income,Property,Mortgage,None of these,Sales,4,2,Condos and Coops,,
Marteen is a licensed salesperson. His license is not associated with a broker. Is his license valid?,"No, it needs to be associated with a broker","Yes, all licenses valid","No, a broker is the only form of valid license","No, unless he has completed his CE courses",None of these,1,2,License Law,,
A real estate license is valid for how many years?,3,5,1,2,None of these,4,1,License Law,,
A real estate license is valid for how many years?,3,5,1,None of these,4,4,1,License Law,1,1
How many hours of continuing education does the Department of State require?,33.5,22.5,32,22,15,2,1,License Law,,
